"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x12","J1,J2","PinSocket_1x12_P2.54mm_Vertical","C225509"
"Conn_01x06","J3","PinSocket_1x06_P2.54mm_Vertical","C40877"
"Si2302","Q1,Q3,Q5,Q4","SOT-23","C181087"
"Si2301","Q2","SOT-23","C10487"
"1k","R1,R3,R4,R7","R_0402_1005Metric","C11702"
"10k","R2,R5,R6,R8","R_0402_1005Metric","C25744"
"SW_DIP_x06","SW1","SW_DIP_SPSTx06_Slide_6.7x16.8mm_W7.62mm_P2.54mm_LowProfile","C319058"
"FS8205A","U1,U2,U3","TSSOP-8_4.4x3mm_P0.65mm","C16052"
